entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_co2,659,2024-09-17 19:00:00+00:00,2024-09-17 22:00:00+03:00,22,2024-09-17
sensor.lounge_airq_co2,771,2024-09-17 20:00:00+00:00,2024-09-17 23:00:00+03:00,23,2024-09-17
sensor.lounge_airq_co2,951,2024-09-17 21:00:00+00:00,2024-09-18 00:00:00+03:00,0,2024-09-17
sensor.lounge_airq_co2,1077,2024-09-17 22:00:00+00:00,2024-09-18 01:00:00+03:00,1,2024-09-17
sensor.lounge_airq_co2,843,2024-09-17 23:00:00+00:00,2024-09-18 02:00:00+03:00,2,2024-09-17
sensor.lounge_airq_co2,752,2024-09-18 00:00:00+00:00,2024-09-18 03:00:00+03:00,3,2024-09-17
sensor.lounge_airq_co2,715,2024-09-18 01:00:00+00:00,2024-09-18 04:00:00+03:00,4,2024-09-17
sensor.lounge_airq_co2,710,2024-09-18 02:00:00+00:00,2024-09-18 05:00:00+03:00,5,2024-09-17
sensor.lounge_airq_co2,693,2024-09-18 03:00:00+00:00,2024-09-18 06:00:00+03:00,6,2024-09-17
sensor.lounge_airq_co2,701,2024-09-18 19:00:00+00:00,2024-09-18 22:00:00+03:00,22,2024-09-18
sensor.lounge_airq_co2,771,2024-09-18 20:00:00+00:00,2024-09-18 23:00:00+03:00,23,2024-09-18
sensor.lounge_airq_co2,731,2024-09-18 21:00:00+00:00,2024-09-19 00:00:00+03:00,0,2024-09-18
sensor.lounge_airq_co2,687,2024-09-18 22:00:00+00:00,2024-09-19 01:00:00+03:00,1,2024-09-18
sensor.lounge_airq_co2,660,2024-09-18 23:00:00+00:00,2024-09-19 02:00:00+03:00,2,2024-09-18
sensor.lounge_airq_co2,647,2024-09-19 00:00:00+00:00,2024-09-19 03:00:00+03:00,3,2024-09-18
sensor.lounge_airq_co2,631,2024-09-19 01:00:00+00:00,2024-09-19 04:00:00+03:00,4,2024-09-18
sensor.lounge_airq_co2,631,2024-09-19 02:00:00+00:00,2024-09-19 05:00:00+03:00,5,2024-09-18
sensor.lounge_airq_co2,630,2024-09-19 03:00:00+00:00,2024-09-19 06:00:00+03:00,6,2024-09-18
