date,Total Sleep Score,Lowest Resting Heart Rate,Awake Time,Restfulness Score,Bedtime End,Sleep Efficiency Score,REM Sleep Score,Restless Sleep,Light Sleep Duration,Sleep Efficiency,Sleep Latency,Respiratory Rate,Bedtime Start,Sleep Latency Score,REM Sleep Duration,Total Sleep Duration,Average Resting Heart Rate,Sleep Timing,Total Bedtime ,Sleep Timin Score,Deep Sleep Score,Sleep Score,Deep Sleep Duration
2023-09-17,90,44,4590,76,2023-09-17T10:17:59.000+03:00,88,74,187,16440,87,1620,13.875,2023-09-17T00:42:59.000+03:00,67,5430,29910,51.41,17370,34500,24,99,78,8040
2023-09-18,94,44,4728,81,2023-09-18T09:52:47.000+03:00,88,82,170,20550,87,1380,13.875,2023-09-17T23:57:59.000+03:00,78,5970,30960,52.34,18120,35688,39,73,81,4440
2023-09-19,83,43,4350,75,2023-09-19T09:58:02.000+03:00,88,51,193,19980,87,1800,14.375,2023-09-19T01:00:02.000+03:00,59,3780,27930,54.05,16170,32280,24,69,69,4170
2023-09-20,93,44,5465,75,2023-09-20T09:10:38.000+03:00,83,90,179,18090,85,3420,14.125,2023-09-19T23:11:03.000+03:00,13,6600,30510,52.68,19560,35975,51,95,77,5820
2023-09-21,92,44,6920,74,2023-09-21T09:38:54.000+03:00,74,85,224,18120,81,2820,14.375,2023-09-20T23:18:04.000+03:00,21,6240,30330,47.74,18660,37250,55,95,76,5970
2023-09-22,83,44,4455,80,2023-09-22T09:24:14.000+03:00,86,78,231,15390,86,2220,14.0,2023-09-22T00:20:59.000+03:00,40,5700,28140,52.54,17010,32595,37,97,75,7050
2023-09-23,97,43,3570,76,2023-09-23T10:21:59.000+03:00,95,99,202,15840,90,1080,13.875,2023-09-23T00:29:59.000+03:00,91,8490,31950,52.86,18330,35520,23,98,86,7620
2023-09-24,65,46,5190,92,2023-09-24T08:46:59.000+03:00,76,95,123,10770,82,3240,13.75,2023-09-24T00:48:59.000+03:00,15,6930,23490,59.15,16230,28680,30,95,68,5790
2023-09-25,98,43,3944,78,2023-09-25T10:24:16.000+03:00,93,95,227,18720,89,240,13.75,2023-09-25T00:24:02.000+03:00,70,6960,32070,50.14,17670,36014,30,96,84,6390
2023-09-26,100,46,5644,76,2023-09-26T10:11:37.000+03:00,83,97,212,18270,85,1080,13.875,2023-09-25T23:24:03.000+03:00,91,7740,33210,52.17,19620,38854,44,97,88,7200
2023-09-27,83,42,6292,64,2023-09-27T09:07:18.000+03:00,76,73,165,16410,82,1170,14.75,2023-09-26T23:35:56.000+03:00,86,5340,27990,50.37,18960,34282,43,96,76,6240
2023-09-28,75,44,6090,79,2023-09-28T08:07:00.000+03:00,74,47,172,18030,81,2550,15.0,2023-09-27T23:12:00.000+03:00,24,3480,26010,54.62,15810,32100,81,74,68,4500
2023-09-30,64,51,9840,57,2023-09-30T10:53:29.000+03:00,48,60,176,15510,70,4500,14.25,2023-09-30T01:41:29.000+03:00,1,4410,23280,57.19,17730,33120,13,54,49,3360
2023-10-01,78,43,9720,84,2023-10-01T10:23:30.000+03:00,55,56,198,17280,73,5460,14.375,2023-10-01T00:16:30.000+03:00,1,4140,26700,54.79,19140,36420,23,87,62,5280
2023-10-02,53,49,7230,76,2023-10-02T09:01:31.000+03:00,58,32,109,13290,74,6060,15.125,2023-10-02T01:22:31.000+03:00,1,2370,20310,57.3,16170,27540,20,77,49,4650
2023-10-03,89,44,5366,78,2023-10-03T09:59:57.000+03:00,83,98,191,16830,85,2760,13.625,2023-10-03T00:17:31.000+03:00,22,8310,29580,52.96,18240,34946,28,73,73,4440
2023-10-04,84,44,5550,80,2023-10-04T10:04:00.000+03:00,81,83,173,15330,84,3030,13.75,2023-10-04T00:39:00.000+03:00,18,6030,28350,52.59,18000,33900,23,97,72,6990
2023-10-09,79,46,3652,87,2023-10-09T09:44:52.000+03:00,90,72,172,15690,88,690,13.625,2023-10-09T01:15:30.000+03:00,89,5280,26910,53.96,15420,30562,24,95,78,5940
2023-10-10,50,46,3767,68,2023-10-10T06:10:48.000+03:00,81,35,106,12570,84,960,13.875,2023-10-09T23:43:31.000+03:00,97,2610,19470,53.11,12570,23237,93,71,65,4290
2023-10-12,73,46,9556,53,2023-10-12T11:01:43.000+03:00,55,62,148,15420,73,5580,13.75,2023-10-12T01:16:27.000+03:00,1,4530,25560,56.04,19350,35116,13,93,56,5610
2023-10-13,73,44,6450,77,2023-10-13T10:17:30.000+03:00,72,67,190,15000,80,4140,13.375,2023-10-13T01:25:30.000+03:00,4,4920,25470,51.66,17910,31920,15,92,62,5550
2023-10-14,94,44,4620,79,2023-10-14T10:51:31.000+03:00,88,97,178,15600,87,2430,13.375,2023-10-14T00:59:31.000+03:00,29,7590,30900,51.64,18630,35520,17,98,78,7710
2023-10-17,63,43,6540,83,2023-10-17T08:54:29.000+03:00,67,65,140,14100,78,4980,13.875,2023-10-17T00:41:29.000+03:00,1,4800,23040,53.93,17280,29580,25,68,57,4140
2023-10-18,69,47,6275,76,2023-10-18T09:52:35.000+03:00,72,63,156,15930,80,3090,13.75,2023-10-18T01:18:30.000+03:00,17,4650,24570,52.69,16620,30845,20,66,59,3990
2023-10-19,89,41,8520,80,2023-10-19T09:58:32.000+03:00,67,79,209,18900,78,4620,13.5,2023-10-18T23:21:32.000+03:00,1,5820,29700,48.39,20580,38220,37,82,70,4980
2023-10-22,100,43,4140,74,2023-10-22T10:42:29.000+03:00,93,100,195,16530,89,1050,13.25,2023-10-22T00:24:29.000+03:00,91,9900,32940,49.57,18900,37080,23,96,86,6510
