entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_pm_10,5,2024-09-18 21:00:00+00:00,2024-09-19 00:00:00+03:00,0,2024-09-18
sensor.lounge_airq_pm_10,5,2024-09-18 22:00:00+00:00,2024-09-19 01:00:00+03:00,1,2024-09-18
sensor.lounge_airq_pm_10,5,2024-09-18 23:00:00+00:00,2024-09-19 02:00:00+03:00,2,2024-09-18
sensor.lounge_airq_pm_10,4,2024-09-19 00:00:00+00:00,2024-09-19 03:00:00+03:00,3,2024-09-18
sensor.lounge_airq_pm_10,4,2024-09-19 01:00:00+00:00,2024-09-19 04:00:00+03:00,4,2024-09-18
sensor.lounge_airq_pm_10,3,2024-09-19 02:00:00+00:00,2024-09-19 05:00:00+03:00,5,2024-09-18
sensor.lounge_airq_pm_10,3,2024-09-19 03:00:00+00:00,2024-09-19 06:00:00+03:00,6,2024-09-18
sensor.lounge_airq_pm_10,16,2024-09-24 19:00:00+00:00,2024-09-24 22:00:00+03:00,22,2024-09-24
sensor.lounge_airq_pm_10,17,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+03:00,23,2024-09-24
sensor.lounge_airq_pm_10,17,2024-09-24 21:00:00+00:00,2024-09-25 00:00:00+03:00,0,2024-09-24
sensor.lounge_airq_pm_10,18,2024-09-24 22:00:00+00:00,2024-09-25 01:00:00+03:00,1,2024-09-24
sensor.lounge_airq_pm_10,18,2024-09-24 23:00:00+00:00,2024-09-25 02:00:00+03:00,2,2024-09-24
sensor.lounge_airq_pm_10,18,2024-09-25 00:00:00+00:00,2024-09-25 03:00:00+03:00,3,2024-09-24
sensor.lounge_airq_pm_10,17,2024-09-25 01:00:00+00:00,2024-09-25 04:00:00+03:00,4,2024-09-24
sensor.lounge_airq_pm_10,15,2024-09-25 02:00:00+00:00,2024-09-25 05:00:00+03:00,5,2024-09-24
sensor.lounge_airq_pm_10,14,2024-09-25 03:00:00+00:00,2024-09-25 06:00:00+03:00,6,2024-09-24
sensor.lounge_airq_pm_10,9,2024-09-25 19:00:00+00:00,2024-09-25 22:00:00+03:00,22,2024-09-25
sensor.lounge_airq_pm_10,8,2024-09-25 20:00:00+00:00,2024-09-25 23:00:00+03:00,23,2024-09-25
sensor.lounge_airq_pm_10,9,2024-09-25 21:00:00+00:00,2024-09-26 00:00:00+03:00,0,2024-09-25
sensor.lounge_airq_pm_10,8,2024-09-25 22:00:00+00:00,2024-09-26 01:00:00+03:00,1,2024-09-25
sensor.lounge_airq_pm_10,8,2024-09-25 23:00:00+00:00,2024-09-26 02:00:00+03:00,2,2024-09-25
sensor.lounge_airq_pm_10,8,2024-09-26 00:00:00+00:00,2024-09-26 03:00:00+03:00,3,2024-09-25
sensor.lounge_airq_pm_10,9,2024-09-26 01:00:00+00:00,2024-09-26 04:00:00+03:00,4,2024-09-25
sensor.lounge_airq_pm_10,8,2024-09-26 02:00:00+00:00,2024-09-26 05:00:00+03:00,5,2024-09-25
sensor.lounge_airq_pm_10,8,2024-09-26 03:00:00+00:00,2024-09-26 06:00:00+03:00,6,2024-09-25
sensor.lounge_airq_pm_10,5,2024-09-26 19:00:00+00:00,2024-09-26 22:00:00+03:00,22,2024-09-26
sensor.lounge_airq_pm_10,7,2024-09-26 20:00:00+00:00,2024-09-26 23:00:00+03:00,23,2024-09-26
sensor.lounge_airq_pm_10,6,2024-09-26 21:00:00+00:00,2024-09-27 00:00:00+03:00,0,2024-09-26
sensor.lounge_airq_pm_10,5,2024-09-26 22:00:00+00:00,2024-09-27 01:00:00+03:00,1,2024-09-26
sensor.lounge_airq_pm_10,4,2024-09-26 23:00:00+00:00,2024-09-27 02:00:00+03:00,2,2024-09-26
sensor.lounge_airq_pm_10,4,2024-09-27 00:00:00+00:00,2024-09-27 03:00:00+03:00,3,2024-09-26
sensor.lounge_airq_pm_10,7,2024-09-27 01:00:00+00:00,2024-09-27 04:00:00+03:00,4,2024-09-26
sensor.lounge_airq_pm_10,9,2024-09-27 02:00:00+00:00,2024-09-27 05:00:00+03:00,5,2024-09-26
sensor.lounge_airq_pm_10,10,2024-09-27 03:00:00+00:00,2024-09-27 06:00:00+03:00,6,2024-09-26
sensor.lounge_airq_pm_10,3,2024-09-27 19:00:00+00:00,2024-09-27 22:00:00+03:00,22,2024-09-27
sensor.lounge_airq_pm_10,2,2024-09-27 20:00:00+00:00,2024-09-27 23:00:00+03:00,23,2024-09-27
sensor.lounge_airq_pm_10,2,2024-09-27 21:00:00+00:00,2024-09-28 00:00:00+03:00,0,2024-09-27
sensor.lounge_airq_pm_10,1,2024-09-27 22:00:00+00:00,2024-09-28 01:00:00+03:00,1,2024-09-27
sensor.lounge_airq_pm_10,1,2024-09-27 23:00:00+00:00,2024-09-28 02:00:00+03:00,2,2024-09-27
sensor.lounge_airq_pm_10,1,2024-09-28 00:00:00+00:00,2024-09-28 03:00:00+03:00,3,2024-09-27
sensor.lounge_airq_pm_10,1,2024-09-28 01:00:00+00:00,2024-09-28 04:00:00+03:00,4,2024-09-27
sensor.lounge_airq_pm_10,1,2024-09-28 02:00:00+00:00,2024-09-28 05:00:00+03:00,5,2024-09-27
sensor.lounge_airq_pm_10,0,2024-09-28 03:00:00+00:00,2024-09-28 06:00:00+03:00,6,2024-09-27
sensor.lounge_airq_pm_10,2,2024-09-28 19:00:00+00:00,2024-09-28 22:00:00+03:00,22,2024-09-28
sensor.lounge_airq_pm_10,2,2024-09-28 20:00:00+00:00,2024-09-28 23:00:00+03:00,23,2024-09-28
sensor.lounge_airq_pm_10,2,2024-09-28 21:00:00+00:00,2024-09-29 00:00:00+03:00,0,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-28 22:00:00+00:00,2024-09-29 01:00:00+03:00,1,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-28 23:00:00+00:00,2024-09-29 02:00:00+03:00,2,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-29 00:00:00+00:00,2024-09-29 03:00:00+03:00,3,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-29 01:00:00+00:00,2024-09-29 04:00:00+03:00,4,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-29 02:00:00+00:00,2024-09-29 05:00:00+03:00,5,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-29 03:00:00+00:00,2024-09-29 06:00:00+03:00,6,2024-09-28
sensor.lounge_airq_pm_10,1,2024-09-29 19:00:00+00:00,2024-09-29 22:00:00+03:00,22,2024-09-29
sensor.lounge_airq_pm_10,1,2024-09-29 20:00:00+00:00,2024-09-29 23:00:00+03:00,23,2024-09-29
sensor.lounge_airq_pm_10,1,2024-09-29 21:00:00+00:00,2024-09-30 00:00:00+03:00,0,2024-09-29
sensor.lounge_airq_pm_10,0,2024-09-29 22:00:00+00:00,2024-09-30 01:00:00+03:00,1,2024-09-29
sensor.lounge_airq_pm_10,0,2024-09-29 23:00:00+00:00,2024-09-30 02:00:00+03:00,2,2024-09-29
sensor.lounge_airq_pm_10,0,2024-09-30 00:00:00+00:00,2024-09-30 03:00:00+03:00,3,2024-09-29
sensor.lounge_airq_pm_10,0,2024-09-30 01:00:00+00:00,2024-09-30 04:00:00+03:00,4,2024-09-29
sensor.lounge_airq_pm_10,0,2024-09-30 02:00:00+00:00,2024-09-30 05:00:00+03:00,5,2024-09-29
sensor.lounge_airq_pm_10,1,2024-09-30 03:00:00+00:00,2024-09-30 06:00:00+03:00,6,2024-09-29
sensor.lounge_airq_pm_10,2,2024-09-30 19:00:00+00:00,2024-09-30 22:00:00+03:00,22,2024-09-30
sensor.lounge_airq_pm_10,2,2024-09-30 20:00:00+00:00,2024-09-30 23:00:00+03:00,23,2024-09-30
sensor.lounge_airq_pm_10,2,2024-09-30 21:00:00+00:00,2024-10-01 00:00:00+03:00,0,2024-09-30
sensor.lounge_airq_pm_10,2,2024-09-30 22:00:00+00:00,2024-10-01 01:00:00+03:00,1,2024-09-30
sensor.lounge_airq_pm_10,2,2024-09-30 23:00:00+00:00,2024-10-01 02:00:00+03:00,2,2024-09-30
sensor.lounge_airq_pm_10,3,2024-10-01 00:00:00+00:00,2024-10-01 03:00:00+03:00,3,2024-09-30
sensor.lounge_airq_pm_10,3,2024-10-01 01:00:00+00:00,2024-10-01 04:00:00+03:00,4,2024-09-30
sensor.lounge_airq_pm_10,3,2024-10-01 02:00:00+00:00,2024-10-01 05:00:00+03:00,5,2024-09-30
